Code:	WP 300.20

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 12.02.2019	Time: 09:45:10

Name:	Aluminium
User Comment:	

Data Start
t Time Index	l Distance	F Force	EPS Strain	R	TEST Test	
h:min:s	mm	KN	%	N/mm^2		
09:25:42.2	4.2501	2.9556	14.1671	157.6299	1.0000
09:25:44.2	4.2745	2.9316	14.2485	156.3510	1.0000
09:25:45.2	4.2990	2.9855	14.3299	159.2286	1.0000
09:25:43.2	4.3112	2.9915	14.3706	159.5484	1.0000
09:25:46.2	4.3234	2.9795	14.4113	158.9089	1.0000
09:25:47.2	4.3600	2.9855	14.5335	159.2286	1.0000
09:25:48.2	4.4211	2.9556	14.7370	157.6299	1.0000
09:25:49.2	4.4333	2.9735	14.7777	158.5892	1.0000
09:25:50.2	4.4577	2.9616	14.8591	157.9497	1.0000
09:25:52.2	4.5432	2.9496	15.1441	157.3102	1.0000
09:25:53.2	4.5677	2.9436	15.2255	156.9905	1.0000
09:25:51.2	4.5799	2.9496	15.2662	157.3102	1.0000
09:25:54.2	4.6409	2.9915	15.4698	159.5484	1.0000
09:25:55.2	4.6409	2.9855	15.4698	159.2286	1.0000
09:25:56.2	4.6776	2.9795	15.5919	158.9089	1.0000
09:25:57.2	4.7264	2.9676	15.7548	158.2694	1.0000
09:25:58.2	4.7509	2.9376	15.8362	156.6707	1.0000
09:26:00.2	4.7997	2.9676	15.9990	158.2694	1.0000
09:25:59.2	4.8241	2.9795	16.0804	158.9089	1.0000
09:26:01.2	4.8608	2.9376	16.2026	156.6707	1.0000
09:26:02.2	4.8974	2.9795	16.3247	158.9089	1.0000
09:26:03.2	4.9096	2.9735	16.3654	158.5892	1.0000
09:26:04.2	4.9585	2.9735	16.5283	158.5892	1.0000
09:26:05.2	4.9951	2.9676	16.6504	158.2694	1.0000
09:26:06.2	5.0562	2.9915	16.8539	159.5484	1.0000
09:26:08.2	5.0928	2.9616	16.9761	157.9497	1.0000
09:26:07.2	5.1050	2.9855	17.0168	159.2286	1.0000
09:26:10.2	5.1050	3.0035	17.0168	160.1878	1.0000
09:26:09.2	5.1172	2.9915	17.0575	159.5484	1.0000
09:26:11.2	5.1539	2.9975	17.1796	159.8681	1.0000
09:26:12.2	5.2149	2.9496	17.3832	157.3102	1.0000
09:26:13.2	5.2272	2.9855	17.4239	159.2286	1.0000
09:26:14.2	5.2516	2.9795	17.5053	158.9089	1.0000
09:26:16.2	5.2882	2.9735	17.6274	158.5892	1.0000
09:26:17.2	5.3127	2.9676	17.7088	158.2694	1.0000
09:26:15.2	5.3249	2.9735	17.7496	158.5892	1.0000
09:26:18.2	5.3493	2.9616	17.8310	157.9497	1.0000
09:26:19.2	5.3859	2.9915	17.9531	159.5484	1.0000
09:26:20.2	5.4348	2.9855	18.1159	159.2286	1.0000
09:26:21.2	5.4836	2.9915	18.2788	159.5484	1.0000
09:26:22.2	5.5081	2.9915	18.3602	159.5484	1.0000
09:26:24.2	5.5447	2.9556	18.4823	157.6299	1.0000
09:26:23.2	5.5813	2.9915	18.6045	159.5484	1.0000
09:26:25.2	5.5936	2.9436	18.6452	156.9905	1.0000
09:26:26.2	5.6424	2.9196	18.8080	155.7115	1.0000
09:26:27.2	5.6790	2.9496	18.9301	157.3102	1.0000
09:26:28.2	5.6790	2.9436	18.9301	156.9905	1.0000
09:26:29.2	5.7401	2.9376	19.1337	156.6707	1.0000
09:26:30.2	5.7890	2.9316	19.2965	156.3510	1.0000
09:26:32.2	5.8500	2.9076	19.5001	155.0721	1.0000
09:26:31.2	5.8745	2.9436	19.5815	156.9905	1.0000
09:26:33.2	5.8989	2.9436	19.6629	156.9905	1.0000
09:26:34.2	5.8989	2.9196	19.6629	155.7115	1.0000
09:26:35.2	5.9477	2.8716	19.8258	153.1536	1.0000
09:26:36.2	5.9966	2.8656	19.9886	152.8339	1.0000
09:26:37.2	6.0332	2.8536	20.1107	152.1944	1.0000
09:26:38.2	6.0699	2.8776	20.2329	153.4734	1.0000
09:26:40.2	6.1187	2.7997	20.3957	149.3168	1.0000
09:26:39.2	6.1431	2.8057	20.4771	149.6365	1.0000
09:26:41.2	6.1431	2.7877	20.4771	148.6773	1.0000
09:26:42.2	6.2042	2.7337	20.6807	145.7997	1.0000
09:26:43.2	6.2653	2.7337	20.8842	145.7997	1.0000
09:26:44.2	6.3019	2.6918	21.0064	143.5616	1.0000
09:26:45.2	6.3385	2.6858	21.1285	143.2418	1.0000
09:26:46.2	6.3752	2.6378	21.2506	140.6839	1.0000
09:26:48.2	6.4607	2.5719	21.5356	137.1668	1.0000
09:26:47.2	6.4729	2.6138	21.5763	139.4050	1.0000
09:26:49.2	6.4729	2.5539	21.5763	136.2076	1.0000
09:26:50.2	6.5217	2.4700	21.7391	131.7313	1.0000
09:26:51.2	6.5950	2.3920	21.9834	127.5747	1.0000
09:26:52.2	6.8149	1.0851	22.7162	57.8723	1.0000
09:26:53.2	7.0103	-0.1199	23.3675	-6.3947	1.0000
09:26:54.2	7.0835	-0.1079	23.6118	-5.7553	1.0000
09:26:55.2	7.1568	-0.0899	23.8560	-4.7960	1.0000
Data End	

Name:	Composite
User Comment:	

Data Start
t Time Index	l Distance	F Force	EPS Strain	R	TEST Test	
h:min:s	mm	KN	%	N/mm^2		
09:28:53.2	0.0611	0.0360	0.2035	1.9184	1.0000
09:28:54.2	0.0733	0.1379	0.2443	7.3539	1.0000
09:28:55.2	0.1954	0.1679	0.6514	8.9526	1.0000
09:28:56.2	0.2320	0.1739	0.7735	9.2723	1.0000
09:28:57.2	0.2443	0.2038	0.8142	10.8710	1.0000
09:28:58.2	0.2443	0.2038	0.8142	10.8710	1.0000
09:28:59.2	0.2809	0.1978	0.9363	10.5513	1.0000
09:29:01.2	0.2809	0.2098	0.9363	11.1908	1.0000
09:29:00.2	0.2931	0.2038	0.9770	10.8710	1.0000
09:29:02.2	0.2931	0.2038	0.9770	10.8710	1.0000
09:29:04.2	0.3542	0.2458	1.1806	13.1092	1.0000
09:29:03.2	0.3664	0.2218	1.2213	11.8302	1.0000
09:29:05.2	0.4030	0.2578	1.3434	13.7487	1.0000
09:29:06.2	0.4397	0.2818	1.4656	15.0276	1.0000
09:29:07.2	0.4641	0.2878	1.5470	15.3473	1.0000
09:29:08.2	0.4763	0.3297	1.5877	17.5855	1.0000
09:29:09.2	0.5252	0.3477	1.7505	18.5447	1.0000
09:29:11.2	0.5496	0.3777	1.8319	20.1434	1.0000
09:29:10.2	0.5740	0.3597	1.9134	19.1842	1.0000
09:29:12.2	0.5740	0.4436	1.9134	23.6605	1.0000
09:29:15.2	0.5862	0.4496	1.9541	23.9802	1.0000
09:29:13.2	0.5984	0.4436	1.9948	23.6605	1.0000
09:29:14.2	0.5984	0.4376	1.9948	23.3407	1.0000
09:29:16.2	0.6351	0.4856	2.1169	25.8986	1.0000
09:29:17.2	0.6351	0.5276	2.1169	28.1368	1.0000
09:29:18.2	0.6473	0.5575	2.1576	29.7355	1.0000
09:29:19.2	0.7084	0.6235	2.3612	33.2526	1.0000
09:29:21.2	0.7084	0.6894	2.3612	36.7697	1.0000
09:29:20.2	0.7206	0.6714	2.4019	35.8105	1.0000
09:29:22.2	0.7328	0.7614	2.4426	40.6065	1.0000
09:29:23.2	0.7328	0.8033	2.4426	42.8447	1.0000
09:29:24.2	0.7694	0.8633	2.5647	46.0420	1.0000
09:29:25.2	0.7816	0.9172	2.6054	48.9196	1.0000
09:29:26.2	0.7938	0.9592	2.6461	51.1578	1.0000
09:29:27.2	0.8671	1.0671	2.8904	56.9130	1.0000
09:29:28.2	0.8671	1.1810	2.8904	62.9880	1.0000
09:30:27.2	0.8671	0.7674	2.8904	40.9262	1.0000
09:30:28.2	0.8671	0.7913	2.8904	42.2052	1.0000
09:30:29.2	0.8671	0.8453	2.8904	45.0828	1.0000
09:30:26.2	0.8793	0.7854	2.9311	41.8854	1.0000
09:30:30.2	0.8793	0.9772	2.9311	52.1170	1.0000
09:29:29.2	0.8915	1.2710	2.9718	67.7841	1.0000
09:29:30.2	0.8915	1.2769	2.9718	68.1038	1.0000
09:30:24.2	0.9038	0.8333	3.0125	44.4433	1.0000
09:30:25.2	0.9038	0.8093	3.0125	43.1644	1.0000
09:29:31.2	0.9282	1.3729	3.0940	73.2196	1.0000
09:30:32.2	0.9282	1.1630	3.0940	62.0288	1.0000
09:30:23.2	0.9404	0.9112	3.1347	48.5999	1.0000
09:30:31.2	0.9404	1.0791	3.1347	57.5525	1.0000
09:30:33.2	0.9404	1.2590	3.1347	67.1446	1.0000
09:29:32.2	0.9648	1.5167	3.2161	80.8933	1.0000
09:30:19.2	0.9648	1.1570	3.2161	61.7091	1.0000
09:30:21.2	0.9648	1.0192	3.2161	54.3552	1.0000
09:30:22.2	0.9648	0.9892	3.2161	52.7565	1.0000
09:30:34.2	0.9648	1.3729	3.2161	73.2196	1.0000
09:30:20.2	0.9770	1.0551	3.2568	56.2736	1.0000
09:30:18.2	0.9893	1.2410	3.2975	66.1854	1.0000
09:29:33.2	1.0137	1.6007	3.3789	85.3696	1.0000
09:29:34.2	1.0137	1.6906	3.3789	90.1656	1.0000
09:30:35.2	1.0137	1.4628	3.3789	78.0156	1.0000
09:30:17.2	1.0259	1.3009	3.4196	69.3828	1.0000
