 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 20   # Spanwise =100     First strip =  1
     Surface area =    0.050178       Ave. chord =    0.131700
     CLsurf  =   0.15714     Clsurf  =  -0.06834
     CYsurf  =   0.00034     Cmsurf  =  -0.13141
     CDsurf  =   0.00564     Cnsurf  =  -0.00010
     CDisurf =   0.00277     CDvsurf =   0.00288

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.31429     CDsurf  =   0.01129
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    86   0.3616   0.0923   0.0002   0.0197   0.0589   0.2283   0.2130   0.0126   0.0051  -0.0310  -0.0802    0.396
    87   0.3641   0.0917   0.0002   0.0185   0.0605   0.2162   0.2017   0.0100   0.0052  -0.0295  -0.0760    0.396
    88   0.3665   0.0911   0.0002   0.0173   0.0621   0.2035   0.1898   0.0078   0.0052  -0.0278  -0.0716    0.396
    89   0.3687   0.0906   0.0002   0.0161   0.0637   0.1900   0.1773   0.0074   0.0052  -0.0260  -0.0669    0.397
    90   0.3707   0.0902   0.0002   0.0148   0.0653   0.1759   0.1642   0.0076   0.0052  -0.0242  -0.0621    0.397
    91   0.3726   0.0897   0.0002   0.0135   0.0668   0.1613   0.1505   0.0072   0.0052  -0.0222  -0.0570    0.398
    92   0.3742   0.0894   0.0001   0.0122   0.0684   0.1460   0.1362   0.0087   0.0052  -0.0202  -0.0517    0.398
    93   0.3757   0.0890   0.0001   0.0108   0.0698   0.1303   0.1216   0.0082   0.0052  -0.0181  -0.0462    0.399
    94   0.3770   0.0887   0.0001   0.0094   0.0712   0.1140   0.1064   0.0076   0.0053  -0.0159  -0.0405    0.400
    95   0.3782   0.0885   0.0001   0.0080   0.0726   0.0974   0.0908   0.0066   0.0053  -0.0137  -0.0346    0.400
    96   0.3791   0.0882   0.0001   0.0066   0.0738   0.0802   0.0749   0.0067   0.0054  -0.0113  -0.0286    0.401
    97   0.3798   0.0881   0.0001   0.0052   0.0750   0.0628   0.0586   0.0059   0.0054  -0.0089  -0.0224    0.402
    98   0.3804   0.0879   0.0000   0.0037   0.0760   0.0451   0.0421   0.0060   0.0055  -0.0064  -0.0161    0.403
    99   0.3808   0.0878   0.0000   0.0022   0.0767   0.0271   0.0253   0.0057   0.0055  -0.0039  -0.0097    0.403
   100   0.3810   0.0878   0.0000   0.0007   0.0771   0.0091   0.0085   0.0055   0.0056  -0.0013  -0.0033    0.403

  Surface # 2     Wing (YDUP)                             
     # Chordwise = 20   # Spanwise =100     First strip =101
     Surface area =    0.050178       Ave. chord =    0.131700
     CLsurf  =   0.15715     Clsurf  =   0.06834
     CYsurf  =  -0.00036     Cmsurf  =  -0.13141
     CDsurf  =   0.00557     Cnsurf  =   0.00015
     CDisurf =   0.00269     CDvsurf =   0.00288

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.31429     CDsurf  =   0.01114
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
   101  -0.0000   0.1756   0.0000   0.0509   0.0271   0.2971   0.2772   0.3810   0.0062  -0.0575   0.1237    0.457
   102  -0.0002   0.1756   0.0000   0.0509   0.0275   0.3095   0.2888   0.0518   0.0062  -0.0575   0.1237    0.449
   103  -0.0006   0.1755   0.0001   0.0509   0.0280   0.3106   0.2898   0.0255   0.0062  -0.0575   0.1237    0.448
   104  -0.0012   0.1753   0.0001   0.0509   0.0285   0.3111   0.2903   0.0201   0.0062  -0.0575   0.1238    0.448
   105  -0.0019   0.1752   0.0001   0.0509   0.0290   0.3115   0.2907   0.0173   0.0062  -0.0574   0.1238    0.447
   106  -0.0028   0.1749   0.0002   0.0510   0.0294   0.3121   0.2912   0.0138   0.0062  -0.0573   0.1238    0.447
   107  -0.0040   0.1747   0.0002   0.0510   0.0298   0.3125   0.2916   0.0145   0.0062  -0.0572   0.1237    0.446
   108  -0.0053   0.1744   0.0002   0.0510   0.0301   0.3131   0.2922   0.0141   0.0062  -0.0570   0.1237    0.445
   109  -0.0068   0.1740   0.0003   0.0510   0.0304   0.3138   0.2928   0.0138   0.0062  -0.0568   0.1237    0.444
   110  -0.0084   0.1737   0.0003   0.0510   0.0307   0.3144   0.2933   0.0182   0.0062  -0.0566   0.1236    0.443
   111  -0.0103   0.1732   0.0003   0.0510   0.0310   0.3153   0.2942   0.0165   0.0061  -0.0563   0.1236    0.441
   112  -0.0123   0.1728   0.0004   0.0510   0.0313   0.3162   0.2950   0.0154   0.0061  -0.0561   0.1235    0.440
   113  -0.0145   0.1723   0.0004   0.0510   0.0315   0.3171   0.2959   0.0164   0.0061  -0.0558   0.1235    0.439
   114  -0.0169   0.1717   0.0004   0.0510   0.0318   0.3182   0.2969   0.0153   0.0061  -0.0555   0.1235    0.437
   115  -0.0194   0.1711   0.0005   0.0510   0.0320   0.3194   0.2980   0.0145   0.0061  -0.0553   0.1235    0.436
   116  -0.0221   0.1705   0.0005   0.0510   0.0321   0.3206   0.2991   0.0136   0.0061  -0.0550   0.1235    0.434
   117  -0.0250   0.1698   0.0005   0.0510   0.0323   0.3217   0.3002   0.0154   0.0061  -0.0548   0.1235    0.432
   118  -0.0281   0.1691   0.0005   0.0510   0.0325   0.3230   0.3014   0.0156   0.0061  -0.0545   0.1236    0.431
   119  -0.0313   0.1684   0.0006   0.0510   0.0326   0.3244   0.3027   0.0134   0.0061  -0.0543   0.1236    0.429
   120  -0.0346   0.1676   0.0006   0.0510   0.0327   0.3259   0.3041   0.0106   0.0061  -0.0541   0.1237    0.428
   121  -0.0382   0.1668   0.0006   0.0509   0.0328   0.3275   0.3055   0.0063   0.0061  -0.0538   0.1238    0.426
   122  -0.0418   0.1660   0.0006   0.0509   0.0329   0.3289   0.3069   0.0069   0.0061  -0.0536   0.1240    0.425
