#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.97499  0.03913  0.04546  1.36388  0.000278  0.000109  0.006490     2.551
   0.97751  0.03691  0.04427  1.35908  0.000270  0.000106  0.006681     2.547
   0.97993  0.03479  0.04310  1.35425  0.000261  0.000103  0.006938     2.537
   0.98226  0.03277  0.04195  1.34914  0.000252  0.000100  0.007268     2.522
   0.98451  0.03083  0.04081  1.34241  0.000246  0.000097  0.007390     2.525
   0.98667  0.02899  0.03968  1.33672  0.000236  0.000094  0.007807     2.504
   0.98876  0.02722  0.03856  1.32904  0.000230  0.000092  0.008001     2.500
   0.99078  0.02554  0.03745  1.32089  0.000224  0.000090  0.008141     2.501
   0.99272  0.02392  0.03636  1.31323  0.000216  0.000087  0.008470     2.489
   0.99461  0.02238  0.03527  1.30416  0.000211  0.000085  0.008614     2.490
   0.99644  0.02090  0.03420  1.29517  0.000205  0.000082  0.008817     2.488
   0.99821  0.01949  0.03313  1.28598  0.000198  0.000080  0.009075     2.482
   0.99992  0.01814  0.03207  1.27647  0.000191  0.000077  0.009446     2.469
   1.00159  0.01685  0.03102  1.26595  0.000184  0.000075  0.009869     2.453
   1.00320  0.01562  0.02998  1.25364  0.000179  0.000073  0.010122     2.447
   1.00477  0.01444  0.02894  1.24084  0.000172  0.000071  0.010501     2.434
   1.00630  0.01332  0.02791  1.22640  0.000167  0.000069  0.010725     2.428
   1.00779  0.01224  0.02688  1.21139  0.000162  0.000067  0.011036     2.418
   1.00923  0.01122  0.02585  1.19518  0.000156  0.000065  0.011351     2.408
   1.01065  0.01025  0.02483  1.17745  0.000152  0.000063  0.011537     2.403
   1.01202  0.00932  0.02381  1.15939  0.000146  0.000061  0.012101     2.378
   1.01337  0.00844  0.02279  1.13692  0.000146  0.000060  0.011273     2.425
   1.01468  0.00760  0.02178  1.12064  0.000138  0.000058  0.012280     2.382
   1.01597  0.00681  0.02077  1.09839  0.000133  0.000056  0.012496     2.373
   1.01723  0.00606  0.01976  1.07462  0.000129  0.000055  0.012557     2.372
   1.01846  0.00536  0.01875  1.05028  0.000125  0.000053  0.012887     2.358
   1.01966  0.00470  0.01775  1.02343  0.000120  0.000051  0.013233     2.340
   1.02083  0.00408  0.01674  0.99353  0.000117  0.000050  0.012969     2.348
   1.02198  0.00351  0.01574  0.96413  0.000113  0.000048  0.013270     2.330
   1.02311  0.00299  0.01475  0.93156  0.000110  0.000047  0.013051     2.334
   1.02422  0.00250  0.01375  0.89806  0.000104  0.000046  0.013794     2.289
   1.02531  0.00206  0.01275  0.85768  0.000104  0.000045  0.013053     2.302
   1.02638  0.00167  0.01176  0.81865  0.000100  0.000044  0.013094     2.281
   1.02743  0.00131  0.01077  0.77623  0.000099  0.000043  0.012465     2.286
   1.02847  0.00100  0.00978  0.73389  0.000096  0.000042  0.012215     2.271
   1.02949  0.00072  0.00879  0.68902  0.000095  0.000042  0.011680     2.266
   1.03050  0.00049  0.00781  0.64304  0.000093  0.000041  0.011114     2.258
