#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.02743  0.00131  0.01077  0.86411  0.000314  0.000139  0.042740     2.262
   1.02847  0.00100  0.00978  0.82340  0.000308  0.000136  0.041619     2.259
   1.02949  0.00072  0.00879  0.78095  0.000301  0.000134  0.040976     2.245
   1.03050  0.00049  0.00781  0.73599  0.000299  0.000133  0.038581     2.253
   1.03150  0.00030  0.00683  0.69106  0.000292  0.000130  0.037588     2.238
   1.03248  0.00014  0.00586  0.64361  0.000291  0.000130  0.034930     2.244
   1.03346  0.00002  0.00489  0.59708  0.000288  0.000128  0.032504     2.252
   1.03442 -0.00006  0.00393  0.54906  0.000280  0.000126  0.031604     2.222
   1.03538 -0.00011  0.00298  0.49813  0.000284  0.000126  0.027547     2.250
   1.03633 -0.00011  0.00202  0.45029  0.000277  0.000123  0.025567     2.247
   1.03728 -0.00008  0.00107  0.39807  0.000270  0.000122  0.023938     2.214
   1.03823 -0.00001  0.00013  0.34239  0.000276  0.000124  0.019888     2.226
   1.03918  0.00010 -0.00082  0.29028  0.000278  0.000124  0.016581     2.238
   1.04014  0.00025 -0.00176  0.23758  0.000275  0.000124  0.014003     2.216
   1.04110  0.00043 -0.00270  0.18449  0.000280  0.000125  0.010390     2.244
   1.04207  0.00066 -0.00365  0.13169  0.000272  0.000122  0.007787     2.225
   1.04305  0.00093 -0.00459  0.07611  0.000280  0.000126  0.004375     2.224
   1.04405  0.00124 -0.00554  0.02368  0.000291  0.000130  0.001303     2.230
   1.04507  0.00159 -0.00650 -0.02689  0.000291  0.000130  0.001480     2.230
   1.04610  0.00198 -0.00745 -0.08033  0.000283  0.000127  0.004564     2.225
   1.04715  0.00242 -0.00840 -0.13099  0.000300  0.000133  0.006848     2.251
   1.04822  0.00290 -0.00936 -0.18066  0.000299  0.000135  0.009740     2.220
   1.04931  0.00343 -0.01032 -0.23040  0.000306  0.000136  0.011927     2.242
   1.05042  0.00400 -0.01127 -0.27718  0.000314  0.000140  0.013935     2.244
   1.05156  0.00462 -0.01222 -0.32350  0.000318  0.000142  0.016146     2.237
   1.05271  0.00529 -0.01316 -0.36743  0.000329  0.000146  0.017498     2.252
   1.05389  0.00601 -0.01410 -0.40984  0.000336  0.000149  0.019240     2.247
   1.05510  0.00677 -0.01503 -0.45013  0.000346  0.000153  0.020267     2.257
   1.05633  0.00759 -0.01596 -0.48647  0.000362  0.000159  0.020683     2.272
   1.05759  0.00845 -0.01687 -0.52268  0.000368  0.000163  0.022213     2.256
   1.05888  0.00936 -0.01778 -0.55751  0.000379  0.000167  0.022800     2.265
   1.06019  0.01032 -0.01868 -0.58848  0.000396  0.000173  0.022609     2.284
   1.06153  0.01132 -0.01957 -0.61762  0.000409  0.000179  0.023008     2.283
   1.06291  0.01237 -0.02046 -0.64625  0.000419  0.000184  0.023590     2.278
   1.06431  0.01347 -0.02134 -0.67242  0.000436  0.000190  0.023314     2.292
   1.06575  0.01461 -0.02221 -0.69698  0.000450  0.000196  0.023315     2.296
   1.06722  0.01580 -0.02307 -0.72118  0.000461  0.000201  0.023648     2.291
   1.06873  0.01705 -0.02393 -0.74366  0.000477  0.000207  0.023352     2.301
   1.07028  0.01834 -0.02478 -0.76461  0.000493  0.000214  0.023061     2.308
   1.07187  0.01969 -0.02562 -0.78447  0.000509  0.000220  0.022830     2.312
   1.07351  0.02110 -0.02646 -0.80340  0.000525  0.000227  0.022592     2.316
   1.07520  0.02257 -0.02730 -0.82054  0.000546  0.000234  0.021959     2.328
   1.07695  0.02411 -0.02813 -0.83640  0.000566  0.000242  0.021410     2.336
   1.07875  0.02571 -0.02896 -0.85180  0.000584  0.000250  0.021132     2.337
   1.08062  0.02738 -0.02979 -0.86586  0.000605  0.000258  0.020518     2.346
   1.08255  0.02912 -0.03062 -0.87975  0.000623  0.000266  0.020268     2.346
   1.08454  0.03094 -0.03145 -0.89297  0.000643  0.000274  0.019873     2.349
   1.08661  0.03283 -0.03228 -0.90508  0.000666  0.000282  0.019269     2.358
   1.08876  0.03481 -0.03310 -0.91722  0.000685  0.000291  0.019026     2.357
   1.09099  0.03688 -0.03393 -0.92840  0.000708  0.000299  0.018489     2.364
   1.09330  0.03904 -0.03475 -0.93859  0.000734  0.000309  0.017859     2.374
   1.09570  0.04130 -0.03558 -0.94850  0.000757  0.000318  0.017434     2.377
   1.09820  0.04366 -0.03640 -0.95757  0.000784  0.000329  0.016868     2.385
   1.10080  0.04613 -0.03722 -0.96644  0.000808  0.000339  0.016465     2.388
   1.10351  0.04871 -0.03804 -0.97410  0.000840  0.000350  0.015771     2.401
   1.10634  0.05141 -0.03886 -0.98225  0.000863  0.000360  0.015534     2.397
   1.10929  0.05425 -0.03968 -0.98948  0.000893  0.000371  0.014991     2.406
   1.11236  0.05721 -0.04050 -0.99660  0.000921  0.000382  0.014602     2.408
   1.11558  0.06032 -0.04132 -1.00301  0.000953  0.000394  0.014080     2.417
   1.11895  0.06359 -0.04213 -1.00931  0.000984  0.000406  0.013689     2.420
   1.12247  0.06702 -0.04294 -1.01478  0.001020  0.000420  0.013132     2.430
   1.12615  0.07061 -0.04375 -1.02021  0.001053  0.000433  0.012747     2.434
   1.13001  0.07439 -0.04456 -1.02503  0.001090  0.000446  0.012264     2.442
   1.13405  0.07834 -0.04535 -1.02971  0.001126  0.000460  0.011878     2.446
   1.13827  0.08249 -0.04614 -1.03412  0.001163  0.000475  0.011501     2.450
   1.14269  0.08684 -0.04692 -1.03804  0.001204  0.000490  0.011067     2.458
   1.14731  0.09139 -0.04769 -1.04159  0.001246  0.000505  0.010649     2.465
   1.15212  0.09615 -0.04844 -1.04509  0.001285  0.000521  0.010325     2.468
   1.15714  0.10111 -0.04917 -1.04782  0.001333  0.000538  0.009860     2.479
   1.16236  0.10629 -0.04988 -1.05046  0.001378  0.000555  0.009509     2.485
   1.16779  0.11167 -0.05057 -1.05282  0.001424  0.000572  0.009165     2.490
   1.17343  0.11727 -0.05124 -1.05475  0.001474  0.000590  0.008794     2.499
   1.17926  0.12307 -0.05187 -1.05643  0.001524  0.000608  0.008452     2.506
   1.18529  0.12907 -0.05247 -1.05784  0.001575  0.000627  0.008128     2.513
   1.19151  0.13526 -0.05305 -1.05890  0.001629  0.000646  0.007797     2.521
   1.19791  0.14164 -0.05358 -1.05977  0.001682  0.000665  0.007497     2.528
   1.20448  0.14819 -0.05408 -1.06043  0.001736  0.000685  0.007217     2.535
   1.21121  0.15490 -0.05455 -1.06092  0.001791  0.000705  0.006952     2.541
   1.21809  0.16177 -0.05497 -1.06102  0.001850  0.000725  0.006658     2.551
   1.22511  0.16878 -0.05536 -1.06104  0.001907  0.000746  0.006411     2.558
   1.23226  0.17592 -0.05570 -1.06082  0.001966  0.000766  0.006160     2.566
