#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.04405  0.00124 -0.00554  0.01714  0.000289  0.000130  0.000961     2.230
   1.04507  0.00159 -0.00650 -0.03254  0.000289  0.000130  0.001827     2.230
   1.04610  0.00198 -0.00745 -0.08444  0.000283  0.000127  0.004849     2.226
   1.04715  0.00242 -0.00840 -0.13351  0.000300  0.000133  0.007089     2.251
   1.04822  0.00290 -0.00936 -0.18233  0.000297  0.000134  0.010044     2.220
   1.04931  0.00343 -0.01032 -0.23077  0.000306  0.000136  0.012077     2.248
   1.05042  0.00400 -0.01127 -0.27678  0.000312  0.000139  0.014250     2.243
   1.05156  0.00462 -0.01222 -0.32205  0.000319  0.000142  0.016243     2.245
   1.05271  0.00529 -0.01316 -0.36478  0.000329  0.000146  0.017622     2.258
   1.05389  0.00601 -0.01410 -0.40675  0.000335  0.000149  0.019496     2.251
   1.05510  0.00677 -0.01503 -0.44678  0.000346  0.000153  0.020509     2.265
   1.05633  0.00759 -0.01596 -0.48267  0.000362  0.000158  0.020849     2.283
   1.05759  0.00845 -0.01687 -0.51840  0.000368  0.000162  0.022378     2.268
   1.05888  0.00936 -0.01778 -0.55302  0.000379  0.000166  0.023031     2.277
   1.06019  0.01032 -0.01868 -0.58377  0.000397  0.000173  0.022781     2.299
   1.06153  0.01132 -0.01957 -0.61297  0.000409  0.000178  0.023282     2.297
   1.06291  0.01237 -0.02046 -0.64155  0.000420  0.000183  0.023798     2.296
   1.06431  0.01347 -0.02134 -0.66772  0.000437  0.000189  0.023534     2.311
   1.06575  0.01461 -0.02221 -0.69244  0.000452  0.000195  0.023584     2.315
   1.06722  0.01580 -0.02307 -0.71690  0.000463  0.000200  0.023948     2.311
   1.06873  0.01705 -0.02393 -0.73951  0.000480  0.000206  0.023595     2.324
   1.07028  0.01834 -0.02478 -0.76084  0.000495  0.000213  0.023396     2.331
   1.07187  0.01969 -0.02562 -0.78100  0.000512  0.000219  0.023135     2.337
   1.07351  0.02110 -0.02646 -0.80009  0.000529  0.000226  0.022837     2.344
   1.07520  0.02257 -0.02730 -0.81764  0.000549  0.000233  0.022284     2.355
   1.07695  0.02411 -0.02813 -0.83383  0.000570  0.000241  0.021711     2.365
   1.07875  0.02571 -0.02896 -0.84952  0.000588  0.000248  0.021414     2.368
   1.08062  0.02738 -0.02979 -0.86389  0.000610  0.000257  0.020802     2.378
   1.08255  0.02912 -0.03062 -0.87816  0.000628  0.000264  0.020571     2.378
   1.08454  0.03094 -0.03145 -0.89171  0.000649  0.000272  0.020165     2.383
   1.08661  0.03283 -0.03228 -0.90420  0.000672  0.000281  0.019572     2.393
   1.08876  0.03481 -0.03310 -0.91669  0.000691  0.000289  0.019318     2.393
   1.09099  0.03688 -0.03393 -0.92825  0.000715  0.000298  0.018785     2.401
   1.09330  0.03904 -0.03475 -0.93871  0.000742  0.000308  0.018114     2.413
   1.09570  0.04130 -0.03558 -0.94891  0.000766  0.000317  0.017687     2.417
   1.09820  0.04366 -0.03640 -0.95836  0.000793  0.000327  0.017141     2.425
   1.10080  0.04613 -0.03722 -0.96748  0.000819  0.000337  0.016699     2.430
   1.10351  0.04871 -0.03804 -0.97546  0.000850  0.000348  0.016015     2.443
   1.10634  0.05141 -0.03886 -0.98391  0.000874  0.000358  0.015775     2.440
   1.10929  0.05425 -0.03968 -0.99140  0.000905  0.000370  0.015212     2.450
   1.11236  0.05721 -0.04050 -0.99879  0.000934  0.000381  0.014817     2.453
   1.11558  0.06032 -0.04132 -1.00548  0.000967  0.000393  0.014293     2.462
   1.11895  0.06359 -0.04213 -1.01202  0.000998  0.000405  0.013888     2.466
   1.12247  0.06702 -0.04294 -1.01768  0.001036  0.000418  0.013307     2.478
   1.12615  0.07061 -0.04375 -1.02335  0.001069  0.000431  0.012925     2.482
   1.13001  0.07439 -0.04456 -1.02837  0.001108  0.000445  0.012432     2.491
   1.13405  0.07834 -0.04535 -1.03324  0.001145  0.000459  0.012037     2.495
   1.13827  0.08249 -0.04614 -1.03782  0.001183  0.000473  0.011645     2.500
